"Query"	"OCTEON"	"BF-2"	"BF-3"  "Host"
1	27.310	13.260	0.440	0.216
2	3.301	1.863	0.196	0.124
3	34.008	16.039	0.582	0.326
4	25.224	11.455	0.452	0.285
5	36.747	18.119	0.613	0.337
6	27.198	13.634	0.427	0.174
7	40.536	19.993	1.302	0.397
8	46.034	23.081	0.746	0.364
9	49.486	26.449	1.142	0.760
10	35.381	17.455	0.827	0.481
11	3.137	1.723	0.111	0.069
12	30.744	13.832	0.474	0.270
13	16.311	8.705	0.921	0.486
14	33.874	15.612	0.557	0.274
15	31.881	15.865	0.558	0.255
16	2.433	1.532	0.269	0.136
17	32.014	15.391	0.523	0.290
18	22.788	11.498	1.868	0.499
19	45.170	21.478	0.716	0.347
20	38.081	18.317	0.594	0.324
21	35.782	18.920	1.123	0.607
22	4.891	2.465	0.212	0.106
