"Query"	"OCTEON"	"BF-2"	"BF-3"  "Host"
1	0.412	0.902	0.206	0.030
2	0.226	0.255	0.088	0.066
3	0.361	1.232	0.235	0.097
4	0.422	1.187	0.202	0.122
5	0.396	1.432	0.246	0.089
6	0.101	0.199	0.050	0.015
7	0.428	1.343	0.878	0.099
8	0.454	1.257	0.212	0.085
9	1.388	5.948	0.669	0.347
10	0.800	1.885	0.432	0.195
11	0.094	0.170	0.032	0.021
12	0.280	0.784	0.126	0.055
13	1.539	3.214	0.708	0.221
14	0.224	0.592	0.132	0.062
15	0.221	0.420	0.185	0.049
16	0.308	0.583	0.164	0.075
17	0.640	1.217	0.154	0.080
18	1.165	2.353	1.504	0.223
19	0.442	1.209	0.230	0.079
20	0.303	0.774	0.128	0.077
21	1.428	4.002	0.733	0.331
22	0.276	0.782	0.118	0.063
